Total_Animal_Affected,object_id
0.0,18-300-00101
0.0,18-300-00102
0.0,18-300-00103
0.0,18-300-00104
0.0,18-300-00105
0.0,18-301-00109
0.0,18-301-00110
0.0,18-301-00111
0.0,18-301-00112
0.0,18-301-00113
0.0,18-301-00114
5048.0,18-302-00115
1053.0,18-302-00116
0.0,18-302-00117
0.0,18-302-00118
0.0,18-302-00119
0.0,18-303-00120
0.0,18-303-00121
55323.0,18-303-00122
162018.0,18-303-00123
2427.0,18-799-00124
0.0,18-304-00126
0.0,18-304-00127
828675.0,18-304-00128
0.0,18-304-00129
0.0,18-305-00130
0.0,18-305-00131
0.0,18-305-00132
0.0,18-305-00133
290256.0,18-305-00134
369415.0,18-305-00135
589613.0,18-305-00136
0.0,18-306-00137
0.0,18-306-00138
15383.0,18-306-00139
7228.0,18-306-00140
13675.0,18-307-00141
5495.0,18-307-00142
2535.0,18-307-00143
0.0,18-307-00144
3300.0,18-307-00145
0.0,18-307-00146
148.0,18-307-00147
184.0,18-308-00150
0.0,18-308-00151
0.0,18-308-00152
0.0,18-308-00153
0.0,18-309-00154
0.0,18-309-00155
0.0,18-309-00156
0.0,18-309-00157
0.0,18-310-00158
0.0,18-310-00159
7623.0,18-310-00160
0.0,18-310-00161
0.0,18-310-00162
0.0,18-310-00163
0.0,18-310-00164
0.0,18-311-00165
0.0,18-311-00166
0.0,18-311-00167
0.0,18-311-00168
0.0,18-312-00169
0.0,18-312-00170
0.0,18-312-00171
0.0,18-313-00172
0.0,18-313-00173
0.0,18-313-00174
0.0,18-313-00175
0.0,18-313-00176
0.0,18-313-00177
0.0,18-314-00178
0.0,18-314-00179
1424.0,18-315-00181
195212.0,18-316-00184
48325.0,18-316-00185
24160.0,18-316-00186
31179.0,18-316-00187
21365.0,18-316-00188
942.0,18-317-00189
0.0,18-317-00190
0.0,18-317-00191
0.0,18-317-00192
0.0,18-317-00193
1366.0,18-318-00194
0.0,18-318-00195
0.0,18-318-00196
0.0,18-318-00197
0.0,18-319-00198
0.0,18-319-00199
0.0,18-319-00200
0.0,18-319-00201
0.0,18-319-00202
0.0,18-320-00205
0.0,18-320-00206
0.0,18-320-00207
30318.0,18-321-00208
46290.0,18-321-00209
0.0,18-321-00210
0.0,18-321-00211
0.0,18-321-00212
0.0,18-321-00213
0.0,18-321-00214
0.0,18-321-00215
0.0,18-321-00216
0.0,18-321-00217
0.0,18-322-00219
0.0,18-322-00220
0.0,18-322-00221
82143.0,18-323-00222
54819.0,18-323-00223
94.0,18-323-00224
0.0,18-323-00225
0.0,18-323-00226
6680.0,18-323-00227
0.0,18-323-00228
0.0,18-323-00230
0.0,18-324-00231
0.0,18-324-00233
0.0,18-324-00234
120110.0,18-325-00238
0.0,18-325-00239
842.0,18-326-00241
0.0,18-326-00245
207.0,18-326-00246
200.0,18-326-00247
0.0,18-755-00248
1800.0,18-756-00249
10113.0,18-756-00250
15809.0,18-756-00251
1057.0,18-757-00252
25952.0,18-757-00253
28754.0,18-757-00254
0.0,18-759-00255
0.0,18-758-00256
0.0,18-758-00257
0.0,18-816-00259
0.0,18-324-00260
0.0,18-816-00261
0.0,18-324-00262
0.0,18-303-00264
0.0,18-799-00265
0.0,18-303-00266
4566.0,18-326-00268
407581.0,18-325-00269
282843.0,18-325-00270
0.0,18-304-00271
0.0,18-321-00272
0.0,18-321-00273
0.0,18-314-00275
0.0,18-312-00276
0.0,18-312-00277
0.0,18-755-00278
0.0,18-755-00279
0.0,18-760-00280
0.0,18-760-00281
